ID,Name,Overall Rating,No. of Ratings,Work Life Balance,Culture And Values,Senior Leadership,Compensation and Benefits,Career Opportunities,Sector,Industry Name,Website,Glassdoor
223401,Microland,3.3,270,2.9,3.2,3.1,2.8,3.4,Information Technology,Computer Hardware & Software,www.microland.com,https://www.glassdoor.com/Overview/Working-at-Microland-EI_IE223401.htm
8450,PwC,3.7,14128,2.9,3.8,3.4,3.3,4.0,Accounting & Legal,Accounting,www.pwc.com,https://www.glassdoor.com/Overview/Working-at-PwC-EI_IE8450.htm
169,CSC,2.7,6047,3.1,2.6,2.2,2.6,2.5,Information Technology,IT Services,www.csc.com,https://www.glassdoor.com/Overview/Working-at-CSC-EI_IE169.htm
10686,Atos,3.0,1903,3.3,2.9,2.6,2.7,2.9,,,www.atos.net,https://www.glassdoor.com/Overview/Working-at-Atos-EI_IE10686.htm
10350,Société Générale,3.4,1504,3.6,3.4,3.0,3.2,3.2,Finance,Investment Banking & Asset Management,www.societegenerale.com,https://www.glassdoor.com/Overview/Working-at-Société Générale-EI_IE10350.htm
6940,Amadeus,3.6,986,4.0,3.6,3.1,3.6,3.2,Information Technology,IT Services,www.amadeus.com,https://www.glassdoor.com/Overview/Working-at-Amadeus-EI_IE6940.htm
241456,Mahindra Satyam,3.0,1004,3.4,3.0,2.4,2.6,3.4,Information Technology,IT Services,www.techmahindra.com/pages/default.aspx,https://www.glassdoor.com/Overview/Working-at-Mahindra Satyam-EI_IE241456.htm
151574,Tavant,3.6,268,3.8,3.6,3.2,3.2,3.4,Information Technology,IT Services,www.tavant.com,https://www.glassdoor.com/Overview/Working-at-Tavant-EI_IE151574.htm
512061,Practo Technologies,2.9,357,2.6,2.9,2.4,3.3,2.9,Information Technology,Internet,www.practo.com,https://www.glassdoor.com/Overview/Working-at-Practo Technologies-EI_IE512061.htm
28977,KPIT Technologies,2.9,914,2.9,2.9,2.6,2.6,3.0,Information Technology,IT Services,www.kpit.com,https://www.glassdoor.com/Overview/Working-at-KPIT Technologies-EI_IE28977.htm
821879,Brillio,3.3,277,3.5,3.5,3.1,3.0,3.2,Information Technology,IT Services,www.brillio.com,https://www.glassdoor.com/Overview/Working-at-Brillio-EI_IE821879.htm
248324,CenturyLink,3.0,2346,3.2,2.9,2.5,3.3,2.8,Telecommunications,"Cable, Internet & Telephone Providers",www.centurylink.com,https://www.glassdoor.com/Overview/Working-at-CenturyLink-EI_IE248324.htm
24434,Minacs,2.3,689,2.3,2.4,2.2,2.2,2.4,Business Services,Staffing & Outsourcing,www.concentrix.com,https://www.glassdoor.com/Overview/Working-at-Minacs-EI_IE24434.htm
373348,InMobi,3.3,292,3.3,3.6,3.0,3.6,3.3,Information Technology,Internet,www.inmobi.com,https://www.glassdoor.com/Overview/Working-at-InMobi-EI_IE373348.htm
368746,Hinduja Global Solutions,2.8,518,2.7,2.9,2.6,2.4,2.7,Business Services,Advertising & Marketing,www.teamhgs.com,https://www.glassdoor.com/Overview/Working-at-Hinduja Global Solutions-EI_IE368746.htm
11184,NDS,3.3,265,3.6,3.4,2.8,3.5,3.0,Information Technology,Computer Hardware & Software,www.cisco.com,https://www.glassdoor.com/Overview/Working-at-NDS-EI_IE11184.htm
3463,BT,3.2,1833,3.3,3.1,2.7,3.3,3.1,Telecommunications,Telecommunications Services,www.btplc.com,https://www.glassdoor.com/Overview/Working-at-BT-EI_IE3463.htm
13754,Collabera,3.4,825,3.0,3.4,3.1,3.0,3.4,Information Technology,IT Services,www.collabera.com,https://www.glassdoor.com/Overview/Working-at-Collabera-EI_IE13754.htm
5986,Ocwen Financial,2.7,556,2.8,2.5,2.3,3.2,2.4,Finance,Financial Transaction Processing,www.ocwen.com,https://www.glassdoor.com/Overview/Working-at-Ocwen Financial-EI_IE5986.htm
432989,QuEST Global,2.8,458,3.2,2.7,2.4,2.2,2.6,Aerospace & Defense,Aerospace & Defense,www.quest-global.com,https://www.glassdoor.com/Overview/Working-at-QuEST Global-EI_IE432989.htm
394137,L&T Technology Services,2.6,600,2.7,2.7,2.3,2.3,2.8,Information Technology,IT Services,www.lnttechservices.com,https://www.glassdoor.com/Overview/Working-at-L&T Technology Services-EI_IE394137.htm
587383,Ola,3.2,234,2.5,2.6,2.7,3.5,3.1,Information Technology,Internet,www.olacabs.com,https://www.glassdoor.com/Overview/Working-at-Ola-EI_IE587383.htm
155577,UST Global,3.1,1133,3.5,3.3,2.8,2.6,3.0,Information Technology,IT Services,www.ust-global.com,https://www.glassdoor.com/Overview/Working-at-UST Global-EI_IE155577.htm
8876,Wells Fargo,3.4,16557,3.4,3.5,3.0,3.5,3.6,Finance,Banks & Credit Unions,www.wellsfargo.com,https://www.glassdoor.com/Overview/Working-at-Wells Fargo-EI_IE8876.htm
7633,NVIDIA,4.4,1608,3.8,4.3,4.0,4.1,4.1,Information Technology,Computer Hardware & Software,www.nvidia.com,https://www.glassdoor.com/Overview/Working-at-NVIDIA-EI_IE7633.htm
6269,Sabre,3.2,977,3.3,3.2,2.7,3.4,3.0,Information Technology,Enterprise Software & Network Solutions,www.sabre.com,https://www.glassdoor.com/Overview/Working-at-Sabre-EI_IE6269.htm
354860,IISC,4.1,205,3.7,4.2,3.3,3.0,3.9,Education,Colleges & Universities,www.iisc.ernet.in,https://www.glassdoor.com/Overview/Working-at-IISC-EI_IE354860.htm
508705,Myntra,3.4,187,3.6,3.3,2.9,3.5,3.2,Retail,"Department, Clothing, & Shoe Stores",www.myntra.com,https://www.glassdoor.com/Overview/Working-at-Myntra-EI_IE508705.htm
551337,Societe Generale Global Solution Centre,2.9,170,3.5,3.2,2.2,3.3,2.8,Information Technology,IT Services,www.socgensolutions.com,https://www.glassdoor.com/Overview/Working-at-Societe Generale Global Solution Centre-EI_IE551337.htm
11763,ICICI Bank,3.3,1946,2.7,3.2,2.9,3.1,3.3,Finance,Banks & Credit Unions,www.icicibank.com,https://www.glassdoor.com/Overview/Working-at-ICICI Bank-EI_IE11763.htm
9664,Aditi,3.4,256,3.6,3.5,2.9,3.1,3.0,Information Technology,IT Services,www.aditi.com,https://www.glassdoor.com/Overview/Working-at-Aditi-EI_IE9664.htm
250211,Tecnotree,2.7,176,2.7,2.6,2.1,3.0,2.7,Telecommunications,"Cable, Internet & Telephone Providers",www.tecnotree.com,https://www.glassdoor.com/Overview/Working-at-Tecnotree-EI_IE250211.htm
2143,Synopsys,3.7,1013,3.8,3.9,3.6,3.5,3.5,Information Technology,Computer Hardware & Software,www.synopsys.com,https://www.glassdoor.com/Overview/Working-at-Synopsys-EI_IE2143.htm
15518,Marlabs,3.6,295,3.6,3.5,3.4,3.3,3.6,Information Technology,IT Services,www.marlabs.com,https://www.glassdoor.com/Overview/Working-at-Marlabs-EI_IE15518.htm
152866,Hindustan Aeronautics,3.1,225,3.6,2.7,2.5,2.6,3.0,Manufacturing,Transportation Equipment Manufacturing,www.hal-india.com,https://www.glassdoor.com/Overview/Working-at-Hindustan Aeronautics-EI_IE152866.htm
2243,EFI,3.0,391,3.2,2.8,2.5,2.8,2.6,Information Technology,Computer Hardware & Software,www.efi.com,https://www.glassdoor.com/Overview/Working-at-EFI-EI_IE2243.htm
